                  Player   G  PA  AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K                Team League                          keys
96   Tsutsugoh Yoshitomo  10  28  26   2   7   2   0   1  12    7   0   0   0   1   8   1    0   0    1  0.269  0.286  0.462  0.747   125  0.192  0.333   35.7%   28.6%    3.6%  0.12       DeNA BayStars     CL        (筒香 嘉智, DeNA BayStars)
97         Itohara Kento   2   2   2   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  0.500  0.500  0.500  1.000   219  0.000  0.500    0.0%    0.0%    0.0%            Hanshin Tigers     CL       (糸原 健斗, Hanshin Tigers)
98            Ogata Riku   5   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%            SoftBank Hawks     PL       (緒方 理貢, SoftBank Hawks)
99         Ogino Takashi   2   8   6   0   1   0   0   0   1    1   0   0   0   1   1   1    0   0    1  0.167  0.250  0.167  0.417    31  0.000  0.167   25.0%   12.5%   12.5%  1.00       Lotte Marines     PL        (荻野 貴司, Lotte Marines)
100      Sugano Tomoyuki   2   2   1   0   0   0   0   0   0    0   0   0   1   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000    0.0%    0.0%    0.0%            Yomiuri Giants     CL       (菅野 智之, Yomiuri Giants)
101       Fujiwara Kyota   3  10   9   0   3   0   0   0   3    0   0   0   1   0   0   0    0   0    0  0.333  0.300  0.333  0.633    94  0.000  0.333    0.0%    0.0%    0.0%             Lotte Marines     PL        (藤原 恭大, Lotte Marines)
102        Fujioka Yudai   3  12  11   0   3   0   0   0   3    0   0   0   1   0   2   0    0   0    0  0.273  0.250  0.273  0.523    60  0.000  0.333   16.7%   16.7%    0.0%  0.00       Lotte Marines     PL        (藤岡 裕大, Lotte Marines)
103         Ebina Tatsuo   9   5   4   0   0   0   0   0   0    0   0   0   0   0   2   1    0   0    1  0.000  0.200  0.000  0.200   -32  0.000  0.000   60.0%   40.0%   20.0%  0.50       DeNA BayStars     CL        (蝦名 達夫, DeNA BayStars)
104     Kakunaka Katsuya   2   6   4   1   1   0   0   1   4    1   0   0   0   0   0   2    0   0    0  0.250  0.500  1.000  1.500   346  0.750  0.000   50.0%    0.0%   33.3%  1.00       Lotte Marines     PL        (角中 勝也, Lotte Marines)
105       Chikamoto Koji   2   9   9   1   1   0   0   0   1    0   0   0   0   0   3   0    0   0    0  0.111  0.111  0.111  0.222   -32  0.000  0.167   33.3%   33.3%    0.0%  0.00      Hanshin Tigers     CL       (近本 光司, Hanshin Tigers)
106       Kondoh Kensuke   8  28  24   3  11   4   0   1  18    4   0   0   0   0   6   3    1   1    0  0.458  0.536  0.750  1.286   289  0.292  0.588   35.7%   21.4%   10.7%  0.50      SoftBank Hawks     PL       (近藤 健介, SoftBank Hawks)
