Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
清水　昇,5.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,6.0,0.0,6.0,4.0,1.0,0.0,1.0,1.0,1.0,1.50,3.15,4.06,1.67,153,95,119,-1.65,0.0%,22.2%,14.8%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
田口　麗斗,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00,2.40,3.13,2.25,999,72,92,-2.40,0.0%,33.3%,16.7%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
田嶋　大樹,2.0,1.0,0.0,0.0,0.0,0.0,40.0,10.1,5.0,0.0,8.0,4.0,1.0,1.0,0.0,1.0,1.0,0.87,3.06,3.80,0.87,244,99,111,-2.19,0.0%,20.0%,10.0%,10.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
畠　世周,3.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.00,2.15,3.37,1.00,76,65,99,0.85,0.0%,21.4%,7.1%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
益田　直也,3.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.50,2.15,3.80,2.00,50,66,111,2.35,0.0%,10.0%,0.0%,10.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
石山　泰稚,4.0,1.0,0.0,0.0,0.0,0.0,15.0,3.2,4.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.91,0.43,1.47,1.09,47,13,43,4.48,0.0%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
石川　歩,1.0,0.0,1.0,0.0,0.0,0.0,29.0,7.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.29,3.87,5.14,1.14,175,119,150,-2.58,0.0%,6.9%,10.3%,-3.4%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
石川　雅規,1.0,1.0,0.0,0.0,0.0,0.0,21.0,6.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00,1.99,2.90,0.67,999,60,85,-1.99,0.0%,23.8%,4.8%,19.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
美馬　学,1.0,0.0,1.0,0.0,0.0,0.0,21.0,5.2,4.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.59,2.62,3.85,0.88,141,80,113,-1.03,0.0%,14.3%,4.8%,9.5%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
能見　篤史,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.15,4.80,0.00,999,102,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
