Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
呉　念庭,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.000,0.250,0.000,0.250,-19,0.000,0.000,75.0%,50.0%,25.0%,0.50,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
周東　佑京,6.0,24.0,23.0,4.0,6.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.261,0.250,0.348,0.598,83,0.087,0.286,8.3%,8.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
坂本　誠志郎,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,0.000,20.0%,20.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
塩見　泰隆,10.0,47.0,39.0,6.0,13.0,2.0,1.0,1.0,20.0,1.0,2.0,0.0,0.0,0.0,13.0,6.0,0.0,2.0,0.0,0.333,0.447,0.513,0.960,184,0.179,0.480,42.6%,27.7%,12.8%,0.46,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
外崎　修汰,2.0,8.0,8.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.250,0.250,0.250,0.500,53,0.000,0.286,12.5%,12.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
大和,3.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.143,0.143,0.143,0.286,-12,0.000,0.143,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
大山　悠輔,6.0,24.0,18.0,1.0,5.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.278,0.458,0.389,0.847,165,0.111,0.312,33.3%,8.3%,25.0%,3.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
大田　泰示,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,20.0%,20.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
大貫　晋一,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
太田　椋,6.0,19.0,16.0,3.0,6.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.375,0.474,0.625,1.099,242,0.250,0.417,36.8%,15.8%,15.8%,1.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
奥村　展征,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,1.000,1.000,2.000,488,0.000,1.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
安達　了一,7.0,26.0,21.0,3.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.286,0.346,0.333,0.679,112,0.048,0.353,26.9%,15.4%,11.5%,0.75,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
宗　佑磨,11.0,50.0,49.0,2.0,8.0,1.0,0.0,0.0,9.0,0.0,2.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.163,0.160,0.184,0.344,5,0.020,0.190,14.0%,14.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
宮城　大弥,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.500,0.500,0.500,1.000,214,0.000,1.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
宮本　丈,5.0,13.0,11.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.273,0.385,0.364,0.748,123,0.091,0.375,38.5%,23.1%,15.4%,0.67,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
宮﨑　敏郎,3.0,9.0,7.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.286,0.333,0.714,1.048,209,0.429,0.200,33.3%,11.1%,11.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
小川　泰弘,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.000,0.167,0.000,0.167,-44,0.000,0.000,50.0%,33.3%,16.7%,0.50,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
小幡　竜平,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.000,0.000,0.000,0.000,-102,0.000,0.000,66.7%,66.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
小田　裕也,7.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.500,0.500,0.500,1.000,214,0.000,1.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
山崎　晃大朗,8.0,25.0,21.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.143,0.160,0.143,0.303,-7,0.000,0.250,40.0%,36.0%,4.0%,0.11,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
山川　穂高,2.0,8.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.167,0.375,0.667,1.042,214,0.500,0.000,62.5%,25.0%,25.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
山本　由伸,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
山田　哲人,10.0,42.0,30.0,3.0,4.0,2.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,1.0,0.133,0.381,0.300,0.681,105,0.167,0.150,52.4%,21.4%,28.6%,1.33,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
山﨑　福也,2.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.250,0.333,0.583,80,0.000,0.333,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
山﨑　颯一郎,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
島田　海吏,5.0,9.0,8.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.375,0.444,0.375,0.819,156,0.000,0.500,33.3%,22.2%,11.1%,0.50,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
嶺井　博希,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
川瀬　晃,5.0,7.0,7.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.571,0.714,1.286,297,0.143,0.571,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
