Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League,keys
<a href=https://npb.jp/bis/eng/players/11515155.html>Okadome Hidetaka</a>,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,9.00,4.59,4.80,1.00,30,141,147,4.41,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('岡留 英貴', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/51355159.html>Iwai Shunsuke</a>,3.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,9.00,6.59,5.63,3.00,32,193,172,2.41,0.0%,8.3%,16.7%,-8.4%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('岩井 俊介', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/51055133.html>Shimamoto Hiroya</a>,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,5.09,5.91,2.00,999,157,181,-5.09,0.0%,11.1%,22.2%,-11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('島本 浩也', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/41045138.html>Togo Shosei</a>,2.0,0.0,1.0,0.0,0.0,0.0,46.0,11.0,12.0,1.0,6.0,1.0,0.0,0.0,0.0,4.0,4.0,3.27,3.45,3.71,1.18,84,104,113,-0.18,2.2%,13.0%,2.2%,10.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('戸郷 翔征', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/41745134.html>Saiki Hiroto</a>,1.0,0.0,1.0,0.0,0.0,0.0,24.0,5.0,7.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.80,4.09,5.22,2.00,150,126,160,-2.29,0.0%,8.3%,12.5%,-4.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('才木 浩人', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/51155130.html>Arihara Kohei</a>,3.0,2.0,1.0,0.0,0.0,0.0,71.0,17.0,16.0,2.0,16.0,6.0,0.0,1.0,0.0,6.0,6.0,3.18,3.97,3.39,1.29,90,116,104,-0.79,2.8%,22.5%,8.5%,14.0%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('有原 航平', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/41545157.html>Kimura Hikaru</a>,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.59,3.13,1.50,999,47,96,-1.59,0.0%,16.7%,0.0%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('木村 光', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/91995138.html>Sugiyama Kazuki</a>,5.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.50,2.25,3.44,0.67,190,66,105,-0.75,0.0%,18.2%,4.5%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('杉山 一樹', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/61765139.html>Sugiura Toshihiro</a>,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.75,11.34,2.80,0.75,43,329,86,-4.59,20.0%,20.0%,0.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('杉浦 稔大', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,27.00,16.09,4.80,3.00,10,495,147,10.91,16.7%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('村上 頌樹', 'Hanshin Tigers')"
